fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note,punteggio
,Ristoranti/Pizzerie,Erba,Relais & Spa Castello di Casiglio,"Via Cesare Cantù, 21, 22036 Erba CO, Italia",031 627288,https://www.hotelcastellodicasiglio.it/?utm_source=gbp&utm_medium=organic,"Relais & Spa Castello di Casiglio è una struttura di prestigio a Erba che combina ristorazione di alta gamma, hotel e spa. I consumi energetici sono elevati per la gestione di camere, cucina, area benessere e climatizzazione. Target luxury con potenziale alto di spesa energetica.","Contattare allo 031 627288, chiedere del direttore o facility manager. Proporre contratto energia per strutture ricettive con fasce differenziate e soluzioni green certificate. Spiare la sensibilità verso sostenibilità ambientale come leva.",10
,Ristoranti/Pizzerie,Stresa,Grand Hotel Des Iles Borromees,"Corso Umberto I, 67, 28838 Stresa VB, Italia",0323 938938,http://www.borromees.com/,"Grand Hotel Des Iles Borromees a Stresa è un hotel 5 stelle lusso storico con ristoranti interni, spa e sale eventi. Consumi energetici altissimi per l'intera struttura ricettiva di prestigio.",Tel 0323 938938. Struttura di altissimo livello. Contattare il direttore tecnico/facility manager. Proposta energetica premium con servizi di efficienza e certificazioni green.,10
,Ristoranti/Pizzerie,Somma Lombardo,Hotel Ristorante La Perla,"Via Sottomonte, 4- 28040 Varallo Pombia (NO)","0321 921447, 0321 921561",https://www.hotelristorantelaperla.it/it/hotel-ristorante-4-stelle-varallo-pombia/hotel,"Hotel ristorante con 52 camere, piscina, parco, navetta Malpensa. Ristorante interno, bar, colazione buffet. Climatizzazione camere, piscina riscaldata, lavanderia, cucina professionale. Consumi energetici molto alti.",Hotel con piscina e 52 camere: altissimi consumi. Target premium per audit energetico completo.,9
,Ristoranti/Pizzerie,Somma Lombardo,Shine Malpensa S.r.l.,"Via Giovanni Oldrini, 1 - 21019 Somma Lombardo (VA)",0331 18330,http://hiex-malpensahotel.com/,"Holiday Inn Express Malpensa, hotel 121 camere con colazione inclusa, navetta, sala riunioni. 2 colonnine ricarica EV. Tavola calda sera. Climatizzazione 121 camere, lavanderia, cucina professionale. Consumi energetici molto alti.",Hotel 121 camere con climatizzazione estesa: target premium per efficienza energetica.,9
,Ristoranti/Pizzerie,Cassano Magnago,Bar Pizzeria Nello,"Via Postporta, 6 - 21013 Gallarate (VA)",0331 799749,http://www.barpizzerianello.it/,"Bar Pizzeria Nello a Gallarate, storico dal 1944. Pizza, panini, delivery, app dedicata. Aperto fino a tarda notte (4:30). Locale con ampia offerta e promozioni frequenti.",Attività longeva con orari estesi = consumi elevati. Cliente ideale per illuminazione e ottimizzazione forni. Chiamare nel pomeriggio.,9
,Ristoranti/Pizzerie,Cantu,Gusto Tondo Cermenate,"Via De Gasperi Alcide, 29- 22072 Cermenate (CO)",328 788 2554,http://www.gusto-tondo.it/,"Gusto Tondo con sedi a Cermenate, Cesano Maderno e Varedo. Ristorante, pizzeria, hamburgeria, griglieria. Catena in crescita con materie prime di qualità.",Catena di ristoranti = opportunità multi-sito. Ideale per proposta su efficienza energetica a livello gruppo. Chiedere referente energia.,9
,Ristoranti/Pizzerie,Mariano Comense,Pizzeria Zio Pizza,"Piazza Repubblica, 2 - 20833 Giussano (MB)",0362 332197,http://www.ziopizza.it/,"Pizzeria Zio Pizza & Burger a Mariano Comense (e altre sedi), catena di pizzerie dal 1996. Pizza, hamburger, colazione, take away.",Catena con 4 sedi = opportunità multi-sito. Consumi elevati per forni e refrigerazione. Cliente ideale per proposta gruppo.,9
,Ristoranti/Pizzerie,Erba,Il Cenacolo Ristorante,"Via Leonardo Da Vinci, 6, 22036 Erba CO, Italia",031 611556,https://www.ilcenacolorestaurant.it/,"Il Cenacolo Ristorante è un ristorante gourmet di lusso a Erba, specializzato in pesce fresco, pasta fatta in casa e carne selezionata. Dispone di più sale per banchetti, cerimonie ed eventi aziendali, con una clientela di alto livello. La struttura ha consumi energetici significativi dati dalla cucina professionale e dalla gestione di eventi.","Chiamare allo 031 611556, chiedere del responsabile. Puntare su contratti energia personalizzati per ristorazione professionale con fascia di potenza adeguata. Menzionare i costi fissi elevati e la possibilità di risparmio con tariffe dedicate HORECA.",9
,Ristoranti/Pizzerie,Lomazzo,Trattoria contemporanea,"Via del Ronco, 10, 22074 Lomazzo CO, Italia",02 8089 6040,https://www.trattoriacontemporanea.it/,"Trattoria contemporanea a Lomazzo è un ristorante stellato con cucina innovativa e giovanile. Esperienza fine dining di alto livello, brigata giovane e menu creativo. Location design sostenibile.","Tel 02 8089 6040. Ristorante di alto livello, approccio professionale e curato. Puntare su partnership con fornitore di energia rinnovabile per mantenere l'immagine sostenibile.",9
,Ristoranti/Pizzerie,Lomazzo,Just Hotel Lomazzo,"Via Ceresio, 49, 22074 Lomazzo CO, Italia",02 9694 1801,https://www.justhotelgroup.it/just-hotel-lomazzo/,"Just Hotel Lomazzo è un hotel strategico con ristorante/pizzeria La Rotonda, bar, sala meeting e snack bar. Ampio parcheggio gratuito, pet friendly, reception 24h. Struttura ricettiva importante con consumi energetici elevati per camere, cucina e climatizzazione.",Tel 02 9694 1801. Struttura alberghiera. Chiedere del facility manager o direttore. Proposta per strutture ricettive con tariffe agevolate notturne e weekend.,9
,Ristoranti/Pizzerie,Lomazzo,Hotel Ristorante Marinoni,"Via Cavour, 3, 22074 Lomazzo CO, Italia",02 9677 9801,http://www.hotelmarinoni.it/,"Hotel Ristorante Marinoni a Lomazzo è uno storico hotel con ristorante nato nel 1911, oggi con 24 camere ristrutturate e ristorante da 80 coperti. Posizione strategica vicino alla stazione, tra Milano e Como. Consumi elevati per la doppia attività ricettiva e ristorativa.",Tel 02 9677 9801. Chiedere del direttore. Struttura storica con potenziale di efficientamento energetico. Proporre analisi dei consumi dual fuel.,9
